RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$40,231,758"
2,"Chris Paul, PG",Oklahoma City Thunder,"$38,506,482"
3,"Russell Westbrook, PG",Houston Rockets,"$38,506,482"
4,"John Wall, PG",Washington Wizards,"$38,199,000"
5,"Kevin Durant, SF",Brooklyn Nets,"$38,199,000"
6,"James Harden, SG",Houston Rockets,"$38,199,000"
7,"LeBron James, SF",Los Angeles Lakers,"$37,436,858"
8,"Kyle Lowry, PG",Toronto Raptors,"$34,996,296"
9,"Blake Griffin, PF",Detroit Pistons,"$34,449,964"
10,"Tobias Harris, SF",Philadelphia 76ers,"$32,742,000"
11,"Jimmy Butler, SF",Miami Heat,"$32,742,000"
12,"Kawhi Leonard, SF",LA Clippers,"$32,742,000"
13,"Klay Thompson, SG",Golden State Warriors,"$32,742,000"
14,"Kemba Walker, PG",Boston Celtics,"$32,742,000"
15,"Gordon Hayward, SF",Boston Celtics,"$32,700,690"
16,"Mike Conley, PG",Utah Jazz,"$32,511,624"
17,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
18,"Khris Middleton, SF",Milwaukee Bucks,"$30,603,448"
19,"Paul George, SG",LA Clippers,"$30,560,700"
20,"Paul Millsap, PF",Denver Nuggets,"$30,350,000"
21,"Damian Lillard, PG",Portland Trail Blazers,"$29,802,321"
22,"Kevin Love, PF",Cleveland Cavaliers,"$28,942,830"
23,"Al Horford, PF",Philadelphia 76ers,"$28,000,000"
24,"Nikola Vucevic, C",Orlando Magic,"$28,000,000"
25,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
26,"CJ McCollum, SG",Portland Trail Blazers,"$27,556,959"
27,"Joel Embiid, C",Philadelphia 76ers,"$27,504,630"
28,"Andrew Wiggins, SF",Minnesota Timberwolves,"$27,504,630"
29,"Nikola Jokic, C",Denver Nuggets,"$27,504,630"
30,"Devin Booker, SG",Phoenix Suns,"$27,285,000"
31,"D'Angelo Russell, SG",Minnesota Timberwolves,"$27,285,000"
32,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$27,285,000"
33,"Kristaps Porzingis, PF",Dallas Mavericks,"$27,285,000"
34,"Otto Porter Jr., SF",Chicago Bulls,"$27,250,575"
35,"Bradley Beal, SG",Washington Wizards,"$27,093,019"
36,"Andre Drummond, C",Detroit Pistons,"$27,093,019"
37,"Anthony Davis, PF",Los Angeles Lakers,"$27,093,018"
38,"Hassan Whiteside, C",Portland Trail Blazers,"$27,093,017"
39,"Jrue Holiday, SG",New Orleans Pelicans,"$26,231,111"
40,"LaMarcus Aldridge, PF",San Antonio Spurs,"$26,000,000"
41,"Steven Adams, C",Oklahoma City Thunder,"$25,842,697"
42,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$25,842,697"
43,"Marc Gasol, C",Toronto Raptors,"$25,595,700"
44,"Nicolas Batum, SG",Charlotte Hornets,"$25,565,217"
45,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
46,"Harrison Barnes, SF",Sacramento Kings,"$24,147,727"
47,"Serge Ibaka, C",Toronto Raptors,"$23,271,604"
48,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
49,"Danilo Gallinari, PF",Oklahoma City Thunder,"$22,615,559"
50,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
51,"Tim Hardaway Jr., SG",Dallas Mavericks,"$20,025,127"
52,"Malcolm Brogdon, PG",Indiana Pacers,"$20,000,000"
53,"Terry Rozier, PG",Charlotte Hornets,"$19,894,737"
54,"Aaron Gordon, PF",Orlando Magic,"$19,863,636"
55,"Zach LaVine, PG",Chicago Bulls,"$19,500,000"
56,"Kent Bazemore, SG",Sacramento Kings,"$19,269,662"
57,"Tyler Johnson, SG",Phoenix Suns,"$19,245,370"
58,"Goran Dragic, PG",Miami Heat,"$19,217,900"
59,"Jeff Teague, PG",Minnesota Timberwolves,"$19,000,000"
60,"Evan Turner, SG",Atlanta Hawks,"$18,606,556"
61,"Draymond Green, PF",Golden State Warriors,"$18,539,130"
62,"Tristan Thompson, C",Cleveland Cavaliers,"$18,539,130"
63,"Allen Crabbe, SG",Minnesota Timberwolves,"$18,500,000"
64,"Julius Randle, PF",New York Knicks,"$18,000,000"
65,"Myles Turner, C",Indiana Pacers,"$18,000,000"
66,"Gary Harris, SG",Denver Nuggets,"$17,839,286"
67,"Derrick Favors, C",New Orleans Pelicans,"$17,650,000"
68,"Andre Iguodala, SG",Miami Heat,"$17,185,185"
69,"Evan Fournier, SG",Orlando Magic,"$17,150,000"
70,"Bismack Biyombo, C",Charlotte Hornets,"$17,000,000"
71,"Bojan Bogdanovic, SF",Utah Jazz,"$17,000,000"
72,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
73,"Gorgui Dieng, C",Memphis Grizzlies,"$16,229,213"
74,"Ricky Rubio, PG",Phoenix Suns,"$16,200,000"
75,"Jonas Valanciunas, C",Memphis Grizzlies,"$16,000,000"
76,"JR Smith, G",Cleveland Cavaliers,"$15,680,000"
77,"Brandon Knight, PG",Detroit Pistons,"$15,643,750"
78,"Kelly Oubre Jr., SF",Phoenix Suns,"$15,625,000"
79,"Eric Bledsoe, PG",Milwaukee Bucks,"$15,625,000"
80,"Dennis Schroder, PG",Oklahoma City Thunder,"$15,500,000"
81,"Ian Mahinmi, C",Washington Wizards,"$15,450,051"
82,"James Johnson, PF",Minnesota Timberwolves,"$15,349,400"
83,"Bobby Portis, PF",New York Knicks,"$15,000,000"
84,"Marcus Morris Sr., SF",New York Knicks,"$15,000,000"
85,"Clint Capela, C",Houston Rockets,"$14,896,552"
86,"Luke Babbitt, F",Miami Heat,"$14,651,700"
87,"Danny Green, SG",Los Angeles Lakers,"$14,634,146"
88,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
89,"Cody Zeller, C",Charlotte Hornets,"$14,471,910"
90,"Eric Gordon, SG",Houston Rockets,"$14,057,730"
91,"Mason Plumlee, PF",Denver Nuggets,"$14,041,096"
92,"Marcin Gortat, C",LA Clippers,"$13,565,218"
93,"JJ Redick, SG",New Orleans Pelicans,"$13,486,300"
94,"Jordan Clarkson, PG",Utah Jazz,"$13,437,500"
95,"Dewayne Dedmon, C",Sacramento Kings,"$13,333,333"
96,"Jusuf Nurkic, C",Portland Trail Blazers,"$13,125,000"
97,"Justise Winslow, SF",Miami Heat,"$13,000,000"
98,"Thaddeus Young, PF",Chicago Bulls,"$12,900,000"
99,"Will Barton, SF",Denver Nuggets,"$12,776,786"
100,"Courtney Lee, SG",Dallas Mavericks,"$12,759,670"
101,"Solomon Hill, SF",Memphis Grizzlies,"$12,758,781"
102,"Larry Nance Jr., PF",Cleveland Cavaliers,"$12,727,273"
103,"Kelly Olynyk, PF",Miami Heat,"$12,667,885"
104,"Marcus Smart, PG",Boston Celtics,"$12,553,571"
105,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
106,"Terrence Ross, SG",Orlando Magic,"$12,500,000"
107,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
108,"Patty Mills, PG",San Antonio Spurs,"$12,428,571"
109,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
110,"Patrick Beverley, PG",LA Clippers,"$12,345,680"
111,"Trevor Ariza, SF",Sacramento Kings,"$12,195,122"
112,"Brook Lopez, C",Milwaukee Bucks,"$12,093,023"
113,"Cory Joseph, PG",Sacramento Kings,"$12,000,000"
114,"Joe Ingles, SG",Utah Jazz,"$11,954,546"
115,"Zach Randolph, F",Dallas Mavericks,"$11,692,308"
116,"Tony Snell, SF",Detroit Pistons,"$11,392,857"
117,"Robert Covington, PF",Minnesota Timberwolves,"$11,301,219"
118,"Meyers Leonard, C",Miami Heat,"$11,286,516"
119,"Omer Asik, C",Chicago Bulls,"$11,286,516"
120,"Maurice Harkless, SF",New York Knicks,"$11,011,234"
121,"T.J. Warren, SF",Indiana Pacers,"$10,810,000"
122,"Andre Roberson, SG",Oklahoma City Thunder,"$10,740,740"
123,"Spencer Dinwiddie, PG",Brooklyn Nets,"$10,605,600"
124,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
125,"Dwight Powell, C",Dallas Mavericks,"$10,259,375"
126,"Norman Powell, SG",Toronto Raptors,"$10,116,576"
127,"Josh Richardson, SG",Philadelphia 76ers,"$10,116,576"
128,"Darren Collison, G",Indiana Pacers,"$10,000,000"
129,"Tomas Satoransky, SG",Chicago Bulls,"$10,000,000"
130,"DeAndre Jordan, C",Brooklyn Nets,"$9,881,598"
131,"Zion Williamson, SF",New Orleans Pelicans,"$9,757,440"
132,"Markelle Fultz, PG",Orlando Magic,"$9,745,200"
133,"John Henson, PF",Detroit Pistons,"$9,732,396"
134,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$9,607,500"
135,"Dante Exum, PG",Utah Jazz,"$9,600,000"
136,"Deandre Ayton, C",Phoenix Suns,"$9,562,920"
137,"Delon Wright, PG",Dallas Mavericks,"$9,473,684"
138,"Fred VanVleet, SG",Toronto Raptors,"$9,346,153"
139,"Jerami Grant, PF",Denver Nuggets,"$9,346,153"
140,"Tyus Jones, PG",Memphis Grizzlies,"$9,258,000"
141,"Al-Farouq Aminu, PF",Orlando Magic,"$9,258,000"
142,"George Hill, PG",Milwaukee Bucks,"$9,133,907"
143,"Kyle Anderson, SF",Memphis Grizzlies,"$9,073,050"
144,"Taj Gibson, C",New York Knicks,"$9,000,000"
145,"Ja Morant, PG",Memphis Grizzlies,"$8,730,240"
146,"Lonzo Ball, PG",New Orleans Pelicans,"$8,719,320"
147,"E'Twaun Moore, SG",New Orleans Pelicans,"$8,664,928"
148,"Marvin Bagley III, PF",Sacramento Kings,"$8,556,120"
149,"Bogdan Bogdanovic, SG",Sacramento Kings,"$8,529,386"
150,"P.J. Tucker, PF",Houston Rockets,"$8,349,039"
151,"C.J. Miles, SG",Washington Wizards,"$8,333,333"
152,"Cristiano Felicio, PF",Chicago Bulls,"$8,156,500"
153,"Ben Simmons, PG",Philadelphia 76ers,"$8,113,930"
154,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$8,089,282"
155,"Thomas Bryant, C",Washington Wizards,"$8,000,000"
156,"Elfrid Payton, PG",New York Knicks,"$8,000,000"
157,"Wayne Ellington, SG",New York Knicks,"$8,000,000"
158,"Lou Williams, SG",LA Clippers,"$8,000,000"
159,"Maxi Kleber, PF",Dallas Mavericks,"$8,000,000"
160,"RJ Barrett, SG",New York Knicks,"$7,839,960"
161,"Jayson Tatum, PF",Boston Celtics,"$7,830,000"
162,"Jae Crowder, SF",Memphis Grizzlies,"$7,815,533"
163,"Luka Doncic, SG",Dallas Mavericks,"$7,683,360"
164,"Joe Harris, SF",Brooklyn Nets,"$7,666,667"
165,"Darrell Arthur, F",Phoenix Suns,"$7,464,912"
166,"Seth Curry, SG",Dallas Mavericks,"$7,461,380"
167,"Doug McDermott, SF",Indiana Pacers,"$7,333,333"
168,"Langston Galloway, SG",Detroit Pistons,"$7,333,333"
169,"Derrick Rose, PG",Detroit Pistons,"$7,317,073"
170,"Brandon Ingram, SF",New Orleans Pelicans,"$7,265,485"
171,"D.J. Augustin, PG",Orlando Magic,"$7,250,000"
172,"Lance Thomas, F",Brooklyn Nets,"$7,119,650"
173,"De'Andre Hunter, SF",Atlanta Hawks,"$7,068,360"
174,"Josh Jackson, SG",Memphis Grizzlies,"$7,059,480"
175,"Davis Bertans, SF",Washington Wizards,"$7,000,000"
176,"Ersan Ilyasova, PF",Milwaukee Bucks,"$7,000,000"
177,"Darius Miller, SF",New Orleans Pelicans,"$7,000,000"
178,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$6,927,480"
179,"Nemanja Bjelica, PF",Sacramento Kings,"$6,825,000"
180,"Jaylen Brown, SG",Boston Celtics,"$6,534,829"
181,"Jabari Parker, PF",Sacramento Kings,"$6,500,000"
182,"Ivica Zubac, C",LA Clippers,"$6,481,482"
183,"Darius Garland, PG",Cleveland Cavaliers,"$6,400,920"
184,"De'Aaron Fox, PG",Sacramento Kings,"$6,392,760"
185,"Milos Teodosic, G",LA Clippers,"$6,300,000"
186,"Trae Young, PG",Atlanta Hawks,"$6,273,000"
187,"Wesley Johnson, F",Washington Wizards,"$6,134,520"
188,"Ish Smith, PG",Washington Wizards,"$6,000,000"
189,"Montrezl Harrell, PF",LA Clippers,"$6,000,000"
190,"Marco Belinelli, SG",San Antonio Spurs,"$5,846,154"
191,"Jarrett Culver, SG",Minnesota Timberwolves,"$5,813,640"
192,"Jonathan Isaac, PF",Orlando Magic,"$5,806,440"
193,"Rodney Hood, SF",Portland Trail Blazers,"$5,718,000"
194,"Jonathon Simmons, G",Washington Wizards,"$5,700,000"
195,"Mo Bamba, C",Orlando Magic,"$5,697,600"
196,"Trey Lyles, C",San Antonio Spurs,"$5,500,000"
197,"Alex Abrines, G",Oklahoma City Thunder,"$5,455,236"
198,"Aron Baynes, C",Phoenix Suns,"$5,453,280"
199,"Jason Smith, F",New Orleans Pelicans,"$5,450,000"
200,"Kris Dunn, PG",Chicago Bulls,"$5,348,007"
201,"Coby White, PG",Chicago Bulls,"$5,307,120"
202,"Lauri Markkanen, PF",Chicago Bulls,"$5,300,400"
203,"Alexis Ajinca, C",LA Clippers,"$5,285,394"
204,"Wendell Carter Jr., C",Chicago Bulls,"$5,201,400"
205,"Dirk Nowitzki, F",Dallas Mavericks,"$5,000,000"
206,"Daniel Theis, C",Boston Celtics,"$5,000,000"
207,"Kyle Singler, F",Oklahoma City Thunder,"$4,996,000"
208,"Jaxson Hayes, C",New Orleans Pelicans,"$4,862,040"
209,"Buddy Hield, SG",Sacramento Kings,"$4,861,208"
210,"Frank Ntilikina, PG",New York Knicks,"$4,855,800"
211,"Rodney McGruder, SG",LA Clippers,"$4,807,693"
212,"Ed Davis, C",Utah Jazz,"$4,767,000"
213,"Richaun Holmes, C",Sacramento Kings,"$4,767,000"
214,"Frank Kaminsky, C",Phoenix Suns,"$4,767,000"
215,"Mike Scott, PF",Philadelphia 76ers,"$4,767,000"
216,"Garrett Temple, SG",Brooklyn Nets,"$4,767,000"
217,"Robin Lopez, C",Milwaukee Bucks,"$4,767,000"
218,"Avery Bradley, PG",Los Angeles Lakers,"$4,767,000"
219,"JaMychal Green, PF",LA Clippers,"$4,767,000"
220,"Justin Holiday, SF",Indiana Pacers,"$4,767,000"
221,"Enes Kanter, C",Boston Celtics,"$4,767,000"
222,"Collin Sexton, PG",Cleveland Cavaliers,"$4,764,960"
223,"Rui Hachimura, PF",Washington Wizards,"$4,469,160"
224,"Kevon Looney, PF",Golden State Warriors,"$4,464,226"
225,"Dennis Smith Jr., PG",New York Knicks,"$4,463,640"
226,"Jamal Murray, PG",Denver Nuggets,"$4,444,746"
227,"Kevin Knox II, SF",New York Knicks,"$4,380,120"
228,"Luc Mbah a Moute, F",LA Clippers,"$4,320,500"
229,"Cam Reddish, SG",Atlanta Hawks,"$4,245,720"
230,"Zach Collins, PF",Portland Trail Blazers,"$4,240,200"
231,"Mikal Bridges, SF",Phoenix Suns,"$4,161,000"
232,"Alex Len, C",Sacramento Kings,"$4,160,000"
233,"Nicolo Melli, PF",New Orleans Pelicans,"$4,102,564"
234,"Cameron Johnson, SF",Phoenix Suns,"$4,033,440"
235,"Malik Monk, SG",Charlotte Hornets,"$4,028,400"
236,"Patrick McCaw, SF",Toronto Raptors,"$4,000,000"
237,"Reggie Bullock, SF",New York Knicks,"$4,000,000"
238,"JaVale McGee, C",Los Angeles Lakers,"$4,000,000"
239,"Dorian Finney-Smith, SF",Dallas Mavericks,"$4,000,000"
240,"Shai Gilgeous-Alexander, SG",Oklahoma City Thunder,"$3,952,920"
241,"PJ Washington, PF",Charlotte Hornets,"$3,831,840"
