RK,NAME,TEAM,SALARY
242,"Luke Kennard, SG",Detroit Pistons,"$3,827,160"
243,"Miles Bridges, SF",Charlotte Hornets,"$3,755,400"
244,"Jakob Poeltl, C",San Antonio Spurs,"$3,754,886"
245,"Tyler Herro, SG",Miami Heat,"$3,640,200"
246,"Donovan Mitchell, SG",Utah Jazz,"$3,635,760"
247,"Stanley Johnson, SF",Toronto Raptors,"$3,623,000"
248,"Jake Layman, SF",Minnesota Timberwolves,"$3,581,986"
249,"Thon Maker, C",Detroit Pistons,"$3,569,643"
250,"Jerome Robinson, SG",Washington Wizards,"$3,567,720"
251,"Allonzo Trier, SG",New York Knicks,"$3,551,000"
252,"Danuel House Jr., SF",Houston Rockets,"$3,540,000"
253,"Domantas Sabonis, PF",Indiana Pacers,"$3,529,555"
254,"DeMarcus Cousins, C",Los Angeles Lakers,"$3,500,000"
255,"Michael Beasley, F",LA Clippers,"$3,500,000"
256,"T.J. McConnell, PG",Indiana Pacers,"$3,500,000"
257,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
258,"Dario Saric, PF",Phoenix Suns,"$3,481,986"
259,"Taurean Prince, PF",Brooklyn Nets,"$3,481,986"
260,"Romeo Langford, SG",Boston Celtics,"$3,458,400"
261,"Bam Adebayo, PF",Miami Heat,"$3,454,080"
262,"Michael Porter Jr., PF",Denver Nuggets,"$3,389,400"
263,"Denzel Valentine, SG",Chicago Bulls,"$3,377,569"
264,"Juan Hernangomez, PF",Minnesota Timberwolves,"$3,321,030"
265,"Sekou Doumbouya, SF",Detroit Pistons,"$3,285,120"
266,"Justin Jackson, SF",Dallas Mavericks,"$3,280,920"
267,"Troy Brown Jr., SF",Washington Wizards,"$3,219,480"
268,"Yogi Ferrell, PG",Sacramento Kings,"$3,150,000"
269,"Zhaire Smith, SG",Philadelphia 76ers,"$3,058,800"
270,"Khem Birch, PF",Orlando Magic,"$3,000,000"
271,"Quinn Cook, PG",Los Angeles Lakers,"$3,000,000"
272,"Ryan Arcidiacono, PG",Chicago Bulls,"$3,000,000"
273,"Nickeil Alexander-Walker, SG",New Orleans Pelicans,"$2,964,840"
274,"D.J. Wilson, PF",Milwaukee Bucks,"$2,961,120"
275,"Cedi Osman, SF",Cleveland Cavaliers,"$2,907,143"
276,"Donte DiVincenzo, SG",Milwaukee Bucks,"$2,905,800"
277,"Bryn Forbes, SG",San Antonio Spurs,"$2,875,000"
278,"Goga Bitadze, C",Indiana Pacers,"$2,816,760"
279,"T.J. Leaf, PF",Indiana Pacers,"$2,813,280"
280,"Alex Caruso, SG",Los Angeles Lakers,"$2,750,000"
281,"Malik Beasley, SG",Minnesota Timberwolves,"$2,731,714"
282,"Luka Samanic, PF",San Antonio Spurs,"$2,689,920"
283,"Lonnie Walker IV, SG",San Antonio Spurs,"$2,689,920"
284,"John Collins, PF",Atlanta Hawks,"$2,686,560"
285,"Kevin Huerter, SG",Atlanta Hawks,"$2,636,280"
286,"Caris LeVert, SG",Brooklyn Nets,"$2,625,718"
287,"Marko Guduric, SG",Memphis Grizzlies,"$2,625,000"
288,"DeAndre' Bembry, SG",Atlanta Hawks,"$2,603,982"
289,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,582,160"
290,"Harry Giles III, C",Sacramento Kings,"$2,578,800"
291,"Wesley Matthews, SG",Milwaukee Bucks,"$2,564,753"
292,"Rajon Rondo, PG",Los Angeles Lakers,"$2,564,753"
293,"Nene Hilario, C",Atlanta Hawks,"$2,564,753"
294,"Josh Okogie, SF",Minnesota Timberwolves,"$2,530,680"
295,"Vincent Poirier, C",Boston Celtics,"$2,505,793"
296,"Rondae Hollis-Jefferson, SF",Toronto Raptors,"$2,500,000"
297,"Manu Ginobili, G",San Antonio Spurs,"$2,500,000"
298,"Brandon Clarke, SF",Memphis Grizzlies,"$2,478,840"
299,"Terrance Ferguson, SF",Oklahoma City Thunder,"$2,475,840"
300,"Emeka Okafor, C",Philadelphia 76ers,"$2,445,085"
301,"Kendrick Perkins, C",Cleveland Cavaliers,"$2,445,085"
302,"Grayson Allen, SG",Memphis Grizzlies,"$2,429,400"
303,"Grant Williams, PF",Boston Celtics,"$2,379,840"
304,"Jarrett Allen, C",Brooklyn Nets,"$2,376,840"
305,"Pascal Siakam, PF",Toronto Raptors,"$2,351,839"
306,"Skal Labissiere, PF",Portland Trail Blazers,"$2,338,847"
307,"Chandler Hutchison, SF",Chicago Bulls,"$2,332,320"
308,"Aaron Holiday, PG",Indiana Pacers,"$2,329,200"
309,"Dejounte Murray, PG",San Antonio Spurs,"$2,321,735"
310,"Damian Jones, C",Atlanta Hawks,"$2,305,057"
311,"Darius Bazley, SF",Oklahoma City Thunder,"$2,284,800"
312,"OG Anunoby, SF",Toronto Raptors,"$2,281,800"
313,"Ante Zizic, C",Cleveland Cavaliers,"$2,281,800"
314,"Luke Kornet, C",Chicago Bulls,"$2,250,000"
315,"Brandon Jennings, G",Milwaukee Bucks,"$2,222,803"
316,"Ty Jerome, SG",Phoenix Suns,"$2,193,480"
317,"Willie Cauley-Stein, C",Golden State Warriors,"$2,177,483"
318,"Anfernee Simons, SG",Portland Trail Blazers,"$2,149,560"
319,"Austin Rivers, PG",Houston Rockets,"$2,147,317"
320,"Nassir Little, SF",Portland Trail Blazers,"$2,105,520"
321,"Moritz Wagner, SF",Washington Wizards,"$2,063,520"
322,"Sean Kilpatrick, G",Chicago Bulls,"$2,054,856"
323,"Dylan Windler, SG",Cleveland Cavaliers,"$2,035,800"
324,"Caleb Swanigan, PF",Sacramento Kings,"$2,033,160"
325,"Mike Muscala, PF",Oklahoma City Thunder,"$2,028,594"
326,"Ben McLemore, SF",Houston Rockets,"$2,028,594"
327,"Edmond Sumner, PG",Indiana Pacers,"$2,000,000"
328,"Noah Vonleh, PF",Minnesota Timberwolves,"$2,000,000"
329,"Torrey Craig, SF",Denver Nuggets,"$2,000,000"
330,"Landry Shamet, SG",LA Clippers,"$1,995,120"
331,"Mfiondu Kabengele, PF",LA Clippers,"$1,977,000"
332,"Kyle Kuzma, PF",Los Angeles Lakers,"$1,974,600"
333,"Jordan Poole, SG",Golden State Warriors,"$1,964,760"
334,"Tony Bradley, C",Utah Jazz,"$1,962,360"
335,"Keldon Johnson, SF",San Antonio Spurs,"$1,950,600"
336,"Derrick White, PG",San Antonio Spurs,"$1,948,080"
337,"Robert Williams III, C",Boston Celtics,"$1,937,520"
338,"Jacob Evans, SG",Minnesota Timberwolves,"$1,925,880"
339,"Dzanan Musa, SG",Brooklyn Nets,"$1,911,600"
340,"Omari Spellman, PF",Golden State Warriors,"$1,897,800"
341,"James Ennis III, SF",Philadelphia 76ers,"$1,882,867"
342,"Shabazz Napier, PG",Washington Wizards,"$1,845,301"
343,"Bruno Caboclo, SF",Memphis Grizzlies,"$1,845,301"
344,"DeAndre Liggins, G",null Unknown,"$1,795,015"
345,"Markieff Morris, PF",Los Angeles Lakers,"$1,750,000"
346,"Cameron Payne, G",Toronto Raptors,"$1,737,145"
347,"Mario Hezonja, SF",Portland Trail Blazers,"$1,737,145"
348,"Pat Connaughton, SG",Milwaukee Bucks,"$1,723,050"
349,"Jahlil Okafor, C",New Orleans Pelicans,"$1,702,486"
350,"Rodions Kurucs, SF",Brooklyn Nets,"$1,699,236"
351,"Jonah Bolden, PF",Phoenix Suns,"$1,698,450"
352,"Cheick Diallo, PF",Phoenix Suns,"$1,678,854"
353,"David Nwaba, SG",Brooklyn Nets,"$1,678,854"
354,"Dragan Bender, F",Milwaukee Bucks,"$1,678,854"
355,"Willy Hernangomez, C",Charlotte Hornets,"$1,676,735"
356,"Julyan Stone, G",Chicago Bulls,"$1,656,092"
357,"MarShon Brooks, G",Chicago Bulls,"$1,656,092"
358,"Josh Hart, SF",New Orleans Pelicans,"$1,655,160"
359,"Georges Niang, SF",Utah Jazz,"$1,645,357"
360,"Derrick Jones Jr., SF",Miami Heat,"$1,645,357"
361,"Christian Wood, PF",Detroit Pistons,"$1,645,357"
362,"Jordan McRae, SG",Washington Wizards,"$1,645,357"
363,"Treveon Graham, SG",Minnesota Timberwolves,"$1,645,357"
364,"Jordan Bell, PF",Memphis Grizzlies,"$1,620,564"
365,"Anthony Tolliver, PF",Memphis Grizzlies,"$1,620,564"
366,"Isaiah Taylor, G",Toronto Raptors,"$1,620,564"
367,"Emmanuel Mudiay, PG",Utah Jazz,"$1,620,564"
368,"Nerlens Noel, C",Oklahoma City Thunder,"$1,620,564"
369,"Tyler Lydon, F",Sacramento Kings,"$1,620,564"
370,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,620,564"
371,"Glenn Robinson III, SF",Philadelphia 76ers,"$1,620,564"
372,"Raul Neto, PG",Philadelphia 76ers,"$1,620,564"
373,"Trey Burke, PG",Philadelphia 76ers,"$1,620,564"
374,"Kyle O'Quinn, C",Philadelphia 76ers,"$1,620,564"
375,"Alec Burks, SG",Philadelphia 76ers,"$1,620,564"
376,"Michael Carter-Williams, PG",Orlando Magic,"$1,620,564"
377,"Wilson Chandler, SF",Brooklyn Nets,"$1,620,564"
378,"Kyle Korver, SG",Milwaukee Bucks,"$1,620,564"
379,"Udonis Haslem, PF",Miami Heat,"$1,620,564"
380,"Jared Dudley, SF",Los Angeles Lakers,"$1,620,564"
381,"Dwight Howard, C",Los Angeles Lakers,"$1,620,564"
382,"Isaiah Thomas, PG",Washington Wizards,"$1,620,564"
383,"Patrick Patterson, PF",LA Clippers,"$1,620,564"
384,"JaKarr Sampson, SF",Indiana Pacers,"$1,620,564"
385,"Ryan Anderson, PF",Houston Rockets,"$1,620,564"
386,"Thabo Sefolosha, SF",Houston Rockets,"$1,620,564"
387,"Tyson Chandler, C",Houston Rockets,"$1,620,564"
388,"Tim Frazier, PG",Detroit Pistons,"$1,620,564"
389,"Joe Johnson, G",Detroit Pistons,"$1,620,564"
390,"Gerald Green, SG",Denver Nuggets,"$1,620,564"
391,"Justin Patton, C",Oklahoma City Thunder,"$1,620,564"
392,"J.J. Barea, PG",Dallas Mavericks,"$1,620,564"
393,"Jarell Martin, F",Cleveland Cavaliers,"$1,620,564"
394,"Shaquille Harrison, PG",Chicago Bulls,"$1,620,564"
395,"Vince Carter, SG",Atlanta Hawks,"$1,620,564"
396,"Dwayne Bacon, SG",Charlotte Hornets,"$1,618,520"
397,"Dillon Brooks, SG",Memphis Grizzlies,"$1,618,520"
398,"Royce O'Neale, SF",Utah Jazz,"$1,618,520"
399,"Abdel Nader, SF",Oklahoma City Thunder,"$1,618,520"
400,"Damyean Dotson, SG",New York Knicks,"$1,618,520"
401,"Sterling Brown, SG",Milwaukee Bucks,"$1,618,520"
402,"Frank Jackson, PG",New Orleans Pelicans,"$1,618,520"
403,"Semi Ojeleye, PF",Boston Celtics,"$1,618,520"
404,"Wes Iwundu, SF",Orlando Magic,"$1,618,420"
405,"Dwight Buycks, G",Detroit Pistons,"$1,600,520"
406,"Mitchell Robinson, C",New York Knicks,"$1,599,712"
407,"Chris Boucher, PF",Toronto Raptors,"$1,588,231"
408,"Malcolm Miller, SG",Toronto Raptors,"$1,588,231"
409,"Monte Morris, PG",Denver Nuggets,"$1,588,231"
410,"Antonio Blakeney, G",Chicago Bulls,"$1,588,231"
411,"Tyrone Wallace, SG",Atlanta Hawks,"$1,588,231"
412,"Malachi Richardson, G",Philadelphia 76ers,"$1,569,360"
413,"Georgios Papagiannis, C",Portland Trail Blazers,"$1,544,951"
414,"Chinanu Onuaku, C",Portland Trail Blazers,"$1,544,951"
415,"Wade Baldwin IV, G",Indiana Pacers,"$1,544,951"
416,"Isaiah Whitehead, G",Detroit Pistons,"$1,544,951"
417,"Paul Zipser, F",Chicago Bulls,"$1,544,951"
418,"Amile Jefferson, PF",Orlando Magic,"$1,529,007"
419,"Omri Casspi, F",Memphis Grizzlies,"$1,512,601"
420,"Lorenzo Brown, G",Guangzhou Guangzhou Long-Lions,"$1,512,601"
421,"Isaiah Canaan, G",Milwaukee Bucks,"$1,512,601"
422,"Dwyane Wade, G",Miami Heat,"$1,512,601"
423,"Nigel Williams-Goss, PG",Utah Jazz,"$1,500,000"
424,"Isaiah Roby, SF",Oklahoma City Thunder,"$1,500,000"
425,"Alfonzo McKinnie, SF",Cleveland Cavaliers,"$1,500,000"
426,"Shake Milton, SG",Philadelphia 76ers,"$1,455,697"
427,"Wenyen Gabriel, PF",Sacramento Kings,"$1,445,697"
428,"Theo Pinson, SG",Brooklyn Nets,"$1,445,697"
429,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,445,697"
430,"Derrick Walton Jr., G",LA Clippers,"$1,445,697"
431,"Brad Wanamaker, PG",Boston Celtics,"$1,445,697"
432,"Iman Shumpert, SG",Brooklyn Nets,"$1,419,138"
433,"Devonte' Graham, PG",Charlotte Hornets,"$1,416,852"
434,"De'Anthony Melton, SG",Memphis Grizzlies,"$1,416,852"
435,"Jemerrio Jones, F",Milwaukee Bucks,"$1,416,852"
436,"Hamidou Diallo, SG",Oklahoma City Thunder,"$1,416,852"
437,"Deonte Burton, SG",Oklahoma City Thunder,"$1,416,852"
438,"Chimezie Metu, PF",San Antonio Spurs,"$1,416,852"
439,"Gary Trent Jr., SG",Portland Trail Blazers,"$1,416,852"
440,"Elie Okobo, SF",Phoenix Suns,"$1,416,852"
441,"Jevon Carter, PG",Phoenix Suns,"$1,416,852"
442,"Melvin Frazier Jr., SG",Orlando Magic,"$1,416,852"
443,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$1,416,852"
444,"Duncan Robinson, SG",Miami Heat,"$1,416,852"
445,"Kendrick Nunn, SG",Miami Heat,"$1,416,852"
446,"Alize Johnson, PF",Indiana Pacers,"$1,416,852"
447,"Isaiah Hartenstein, C",Houston Rockets,"$1,416,852"
448,"Bruce Brown, SG",Detroit Pistons,"$1,416,852"
449,"Khyri Thomas, SG",Detroit Pistons,"$1,416,852"
450,"Sviatoslav Mykhailiuk, SG",Detroit Pistons,"$1,416,852"
451,"Keita Bates-Diop, SF",Minnesota Timberwolves,"$1,416,852"
452,"Jalen Brunson, PG",Dallas Mavericks,"$1,416,852"
453,"Ryan Broekhoff, SG",Dallas Mavericks,"$1,416,852"
454,"Kenrich Williams, SF",New Orleans Pelicans,"$1,416,852"
455,"Dairis Bertans, G",New Orleans Pelicans,"$1,416,852"
456,"Yante Maten, F",Boston Celtics,"$1,416,852"
457,"Isaac Bonga, SF",Washington Wizards,"$1,416,842"
458,"Tarik Phillip, G",Washington Wizards,"$1,416,842"
459,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,400,000"
460,"Bruno Fernando, C",Atlanta Hawks,"$1,400,000"
461,"Dakari Johnson, C",null Unknown,"$1,378,242"
462,"Kyle Collinsworth, G",Utah Jazz,"$1,378,242"
463,"Brandon Paul, G",San Antonio Spurs,"$1,378,242"
464,"Jaylen Morris, G",Milwaukee Bucks,"$1,378,242"
465,"Rodney Purvis, G",Miami Heat,"$1,378,242"
466,"David Stockton, G",Los Angeles Lakers,"$1,378,242"
467,"Ike Anigbogu, C",Indiana Pacers,"$1,378,242"
468,"Zhou Qi, C",Houston Rockets,"$1,378,242"
469,"Aaron Jackson, F",Houston Rockets,"$1,378,242"
470,"Carmelo Anthony, PF",Portland Trail Blazers,"$1,364,204"
471,"Jabari Bird, G",Atlanta Hawks,"$1,349,464"
472,"Ben Moore, F",San Antonio Spurs,"$1,349,383"
473,"James Nunnally, G",Shanghai Sharks,"$1,349,383"
474,"Kevin Porter Jr., SG",Cleveland Cavaliers,"$1,290,960"
475,"Carsen Edwards, PG",Boston Celtics,"$1,228,026"
476,"Okaro White, F",Washington Wizards,"$1,187,862"
477,"Cody Martin, SF",Charlotte Hornets,"$1,173,310"
478,"Gary Payton II, PG",Washington Wizards,"$1,052,909"
479,"Nick Young, G",Denver Nuggets,"$1,042,584"
480,"Admiral Schofield, SG",Washington Wizards,"$1,000,000"
